Gene,Pfam,MSA
GA4805AA_04358,PF00298,Inter-strain
GA4805AA_02490,PF00535,Inter-strain
GA4805AA_04344,PF01177,Inter-strain
GA4805AA_03953,PF08125,Inter-strain
GA4805AA_03460,PF13997,Inter-strain
GA4805AA_03749,PF00072,Inter-strain
GA4805AA_01703,PF05683,Inter-strain
GA4805AA_04184,PF08282,Inter-strain
GA4805AA_03968,PF06415,Inter-strain
GA4805AA_01908,PF00313,Inter-strain
GA4805AA_01069,PF03264,Inter-strain
GA4805AA_02902,PF05437,Inter-strain
GA4805AA_03714,PF03460,Inter-strain
GA4805AA_01791,PF00766,Inter-strain
GA4805AA_00435,PF07690,Inter-strain
GA4805AA_01012,PF13558,Inter-strain
GA4805AA_00078,PF00180,Inter-strain
GA4805AA_03732,PF01761,Inter-strain
GA4805AA_01961,PF03932,Inter-strain
GA4805AA_01474,PF04715,Inter-strain
GA4805AA_04673,PF00133,Inter-strain
GA4805AA_00715,PF02322,Inter-strain
GA4805AA_00854,PF03063,Inter-strain
GA4805AA_03522,PF00575,Inter-strain
GA4805AA_01694,PF12769,Inter-strain
GA4805AA_04161,PF01379,Inter-strain
GA4805AA_01196,PF08328,Inter-strain
GA4805AA_02976,PF01583,Inter-strain
GA4805AA_03758,PF01521,Inter-strain
GA4805AA_01346,PF00472,Inter-strain
GA4805AA_02386,PF13407,Inter-strain
GA4805AA_01173,PF05728,Inter-strain
GA4805AA_04223,PF01205,Inter-strain
GA4805AA_04065,PF00308,Inter-strain
GA4805AA_04515,PF00512,Inter-strain
GA4805AA_01953,PF01336,Inter-strain
GA4805AA_02939,PF01750,Inter-strain
GA4805AA_03025,PF07882,Inter-strain
GA4805AA_02433,PF03100,Inter-strain
GA4805AA_01869,PF01641,Inter-strain
GA4805AA_03743,PF01479,Inter-strain
GA4805AA_03636,PF01189,Inter-strain
GA4805AA_00490,PF13520,Inter-strain
GA4805AA_01699,PF00072,Inter-strain
GA4805AA_01732,PF09864,Inter-strain
GA4805AA_01693,PF02233,Inter-strain
GA4805AA_04222,PF00557,Inter-strain
GA4805AA_00187,PF01103,Inter-strain
GA4805AA_04285,PF02518,Inter-strain
GA4805AA_00220,PF01476,Inter-strain
GA4805AA_00543,PF11604,Inter-strain
GA4805AA_02796,PF10431,Inter-strain
GA4805AA_03167,PF00044,Inter-strain
GA4805AA_03752,PF04023,Inter-strain
GA4805AA_00001,PF03447,Inter-strain
GA4805AA_03426,PF10410,Inter-strain
GA4805AA_02517,PF10531,Inter-strain
GA4805AA_02516,PF01568,Inter-strain
GA4805AA_01470,PF00290,Inter-strain
GA4805AA_02494,PF00892,Inter-strain
GA4805AA_00082,PF10369,Inter-strain
GA4805AA_02546,PF02674,Inter-strain
GA4805AA_01030,PF16326,Inter-strain
GA4805AA_03776,PF00128,Inter-strain
GA4805AA_03393,PF00293,Inter-strain
GA4805AA_00763,PF13353,Inter-strain
GA4805AA_01473,PF00117,Inter-strain
GA4805AA_03707,PF13515,Inter-strain
GA4805AA_03929,PF13247,Inter-strain
GA4805AA_00199,PF07073,Inter-strain
GA4805AA_02513,PF00499,Inter-strain
GA4805AA_04004,PF04607,Inter-strain
GA4805AA_00852,PF02776,Inter-strain
GA4805AA_03668,PF00297,Inter-strain
GA4805AA_00089,PF01225,Inter-strain
GA4805AA_02604,PF02775,Inter-strain
GA4805AA_00811,PF00496,Inter-strain
GA4805AA_03636,PF01029,Inter-strain
GA4805AA_04103,PF01134,Inter-strain
GA4805AA_02726,PF03129,Inter-strain
GA4805AA_03954,PF05068,Inter-strain
GA4805AA_03595,PF06723,Inter-strain
GA4805AA_00417,PF00885,Inter-strain
GA4805AA_02403,PF00294,Inter-strain
GA4805AA_03807,PF03602,Inter-strain
GA4805AA_04660,PF01042,Inter-strain
GA4805AA_04464,PF04341,Inter-strain
GA4805AA_04579,PF03853,Inter-strain
GA4805AA_04270,PF00384,Inter-strain
GA4805AA_04307,PF05036,Inter-strain
GA4805AA_01397,PF06790,Inter-strain
GA4805AA_00618,PF02410,Inter-strain
GA4805AA_04567,PF02910,Inter-strain
GA4805AA_03389,PF00204,Inter-strain
GA4805AA_03015,PF04287,Inter-strain
GA4805AA_00077,PF00330,Inter-strain
GA4805AA_00189,PF04613,Inter-strain
GA4805AA_00433,PF00115,Inter-strain
GA4805AA_01935,PF00920,Inter-strain
GA4805AA_00860,PF12704,Inter-strain
GA4805AA_03472,PF03313,Inter-strain
GA4805AA_04254,PF13419,Inter-strain
GA4805AA_03155,PF06026,Inter-strain
GA4805AA_00808,PF00994,Inter-strain
GA4805AA_02646,PF05524,Inter-strain
GA4805AA_02930,PF00571,Inter-strain
GA4805AA_03521,PF08364,Inter-strain
GA4805AA_04515,PF02518,Inter-strain
GA4805AA_00927,PF13247,Inter-strain
GA4805AA_01903,PF03609,Inter-strain
GA4805AA_01391,PF13396,Inter-strain
GA4805AA_02262,PF00815,Inter-strain
GA4805AA_00760,PF13500,Inter-strain
GA4805AA_03374,PF06445,Inter-strain
GA4805AA_00120,PF00456,Inter-strain
GA4805AA_03965,PF02556,Inter-strain
GA4805AA_00088,PF02875,Inter-strain
GA4805AA_01362,PF13247,Inter-strain
GA4805AA_02767,PF01380,Inter-strain
GA4805AA_04424,PF01554,Inter-strain
GA4805AA_00853,PF00175,Inter-strain
GA4805AA_01035,PF07977,Inter-strain
GA4805AA_03727,PF00579,Inter-strain
GA4805AA_00800,PF03600,Inter-strain
GA4805AA_03521,PF04760,Inter-strain
GA4805AA_02710,PF02541,Inter-strain
GA4805AA_01947,PF05491,Inter-strain
GA4805AA_01112,PF01661,Inter-strain
GA4805AA_03969,PF01551,Inter-strain
GA4805AA_03622,PF00005,Inter-strain
GA4805AA_00722,PF04052,Inter-strain
GA4805AA_00474,PF00183,Inter-strain
GA4805AA_04661,PF01948,Inter-strain
GA4805AA_01282,PF00717,Inter-strain
GA4805AA_00194,PF02811,Inter-strain
GA4805AA_01373,PF00551,Inter-strain
GA4805AA_00187,PF07244,Inter-strain
GA4805AA_04269,PF09163,Inter-strain
GA4805AA_02409,PF02492,Inter-strain
GA4805AA_01898,PF00293,Inter-strain
GA4805AA_01036,PF13654,Inter-strain
GA4805AA_00046,PF02525,Inter-strain
GA4805AA_04335,PF00206,Inter-strain
GA4805AA_02336,PF00294,Inter-strain
GA4805AA_00471,PF12169,Inter-strain
GA4805AA_04571,PF00924,Inter-strain
GA4805AA_04126,PF13710,Inter-strain
GA4805AA_00926,PF04879,Inter-strain
GA4805AA_02054,PF01066,Inter-strain
GA4805AA_03951,PF11742,Inter-strain
GA4805AA_00840,PF05958,Inter-strain
GA4805AA_02611,PF06580,Inter-strain
GA4805AA_00438,PF05698,Inter-strain
GA4805AA_03370,PF00394,Inter-strain
GA4805AA_00427,PF08546,Inter-strain
GA4805AA_02472,PF00111,Inter-strain
GA4805AA_03715,PF13806,Inter-strain
GA4805AA_02765,PF00383,Inter-strain
GA4805AA_01194,PF00672,Inter-strain
GA4805AA_03688,PF00009,Inter-strain
GA4805AA_02650,PF00291,Inter-strain
GA4805AA_03488,PF03830,Inter-strain
GA4805AA_02319,PF00672,Inter-strain
GA4805AA_03964,PF07479,Inter-strain
GA4805AA_02707,PF02769,Inter-strain
GA4805AA_00747,PF03459,Inter-strain
GA4805AA_01534,PF00158,Inter-strain
GA4805AA_04065,PF08299,Inter-strain
GA4805AA_03608,PF06196,Inter-strain
GA4805AA_02970,PF01975,Inter-strain
GA4805AA_00023,PF01687,Inter-strain
GA4805AA_02539,PF00005,Inter-strain
GA4805AA_02442,PF00384,Inter-strain
GA4805AA_04243,PF00989,Inter-strain
GA4805AA_03548,PF00005,Inter-strain
GA4805AA_02896,PF00268,Inter-strain
GA4805AA_04558,PF08207,Inter-strain
GA4805AA_00841,PF00497,Inter-strain
GA4805AA_02646,PF00391,Inter-strain
GA4805AA_00835,PF13416,Inter-strain
GA4805AA_04891,PF13419,Inter-strain
GA4805AA_00720,PF02472,Inter-strain
GA4805AA_04158,PF13414,Inter-strain
GA4805AA_04271,PF04879,Inter-strain
GA4805AA_03477,PF00291,Inter-strain
GA4805AA_04468,PF12838,Inter-strain
GA4805AA_04033,PF07690,Inter-strain
GA4805AA_00860,PF00005,Inter-strain
GA4805AA_04658,PF13377,Inter-strain
GA4805AA_04899,PF01791,Inter-strain
GA4805AA_01780,PF13183,Inter-strain
GA4805AA_02423,PF07208,Inter-strain
GA4805AA_03027,PF05025,Inter-strain
GA4805AA_01630,PF13520,Inter-strain
GA4805AA_04583,PF01715,Inter-strain
GA4805AA_03656,PF00673,Inter-strain
GA4805AA_02402,PF02378,Inter-strain
GA4805AA_04517,PF08019,Inter-strain
GA4805AA_00098,PF12327,Inter-strain
GA4805AA_00054,PF04166,Inter-strain
GA4805AA_03794,PF00005,Inter-strain
GA4805AA_02530,PF00871,Inter-strain
GA4805AA_04656,PF00128,Inter-strain
GA4805AA_04183,PF12146,Inter-strain
GA4805AA_02683,PF02779,Inter-strain
GA4805AA_04356,PF00584,Inter-strain
GA4805AA_01586,PF03848,Inter-strain
GA4805AA_02268,PF01503,Inter-strain
GA4805AA_00370,PF08240,Inter-strain
GA4805AA_02600,PF00196,Inter-strain
GA4805AA_03413,PF03710,Inter-strain
GA4805AA_03343,PF01750,Inter-strain
GA4805AA_03797,PF02653,Inter-strain
GA4805AA_04363,PF04998,Inter-strain
GA4805AA_02683,PF02780,Inter-strain
GA4805AA_00422,PF13292,Inter-strain
GA4805AA_03710,PF02661,Inter-strain
GA4805AA_04255,PF03631,Inter-strain
GA4805AA_02798,PF00849,Inter-strain
GA4805AA_00192,PF02684,Inter-strain
GA4805AA_02600,PF00072,Inter-strain
GA4805AA_02377,PF03788,Inter-strain
GA4805AA_03952,PF02378,Inter-strain
GA4805AA_02442,PF01568,Inter-strain
GA4805AA_04658,PF00356,Inter-strain
GA4805AA_02973,PF01128,Inter-strain
GA4805AA_03030,PF04241,Inter-strain
GA4805AA_02573,PF02737,Inter-strain
GA4805AA_04519,PF12833,Inter-strain
GA4805AA_00673,PF02879,Inter-strain
GA4805AA_02698,PF00701,Inter-strain
GA4805AA_01651,PF13811,Inter-strain
GA4805AA_03782,PF01202,Inter-strain
GA4805AA_01555,PF01171,Inter-strain
GA4805AA_01005,PF03966,Inter-strain
GA4805AA_02680,PF00936,Inter-strain
GA4805AA_04212,PF03109,Inter-strain
GA4805AA_03395,PF06693,Inter-strain
GA4805AA_03654,PF00410,Inter-strain
GA4805AA_02493,PF02366,Inter-strain
GA4805AA_02561,PF03411,Inter-strain
GA4805AA_03709,PF00117,Inter-strain
GA4805AA_03665,PF03947,Inter-strain
GA4805AA_03079,PF13538,Inter-strain
GA4805AA_03102,PF00083,Inter-strain
GA4805AA_02728,PF13464,Inter-strain
GA4805AA_03209,PF00730,Inter-strain
GA4805AA_02641,PF00633,Inter-strain
GA4805AA_00637,PF00571,Inter-strain
GA4805AA_04224,PF02386,Inter-strain
GA4805AA_01806,PF03484,Inter-strain
GA4805AA_01724,PF04205,Inter-strain
GA4805AA_03688,PF03144,Inter-strain
GA4805AA_00084,PF02381,Inter-strain
GA4805AA_03427,PF04542,Inter-strain
GA4805AA_01745,PF00929,Inter-strain
GA4805AA_01725,PF02508,Inter-strain
GA4805AA_03655,PF00253,Inter-strain
GA4805AA_01983,PF00005,Inter-strain
GA4805AA_02689,PF03960,Inter-strain
GA4805AA_03097,PF00501,Inter-strain
GA4805AA_02319,PF00512,Inter-strain
GA4805AA_00182,PF02670,Inter-strain
GA4805AA_01473,PF02885,Inter-strain
GA4805AA_00166,PF00654,Inter-strain
GA4805AA_04296,PF04175,Inter-strain
GA4805AA_01934,PF01081,Inter-strain
GA4805AA_02905,PF07690,Inter-strain
GA4805AA_03559,PF00381,Inter-strain
GA4805AA_02264,PF00475,Inter-strain
GA4805AA_00623,PF13603,Inter-strain
GA4805AA_03731,PF05036,Inter-strain
GA4805AA_03773,PF08323,Inter-strain
GA4805AA_04654,PF13353,Inter-strain
GA4805AA_02802,PF01817,Inter-strain
GA4805AA_02474,PF03009,Inter-strain
GA4805AA_04089,PF00528,Inter-strain
GA4805AA_04590,PF02082,Inter-strain
GA4805AA_00194,PF01336,Inter-strain
GA4805AA_00638,PF02130,Inter-strain
GA4805AA_02434,PF04995,Inter-strain
GA4805AA_03975,PF01075,Inter-strain
GA4805AA_00081,PF02776,Inter-strain
GA4805AA_02760,PF00072,Inter-strain
GA4805AA_01619,PF09163,Inter-strain
GA4805AA_00672,PF03925,Inter-strain
GA4805AA_02942,PF12838,Inter-strain
GA4805AA_02367,PF00528,Inter-strain
GA4805AA_00637,PF03471,Inter-strain
GA4805AA_00290,PF00171,Inter-strain
GA4805AA_04381,PF01808,Inter-strain
GA4805AA_00410,PF13721,Inter-strain
GA4805AA_00570,PF00005,Inter-strain
GA4805AA_02693,PF13718,Inter-strain
GA4805AA_00852,PF00205,Inter-strain
GA4805AA_02682,PF00923,Inter-strain
GA4805AA_02471,PF00268,Inter-strain
GA4805AA_03389,PF00986,Inter-strain
GA4805AA_04314,PF00696,Inter-strain
GA4805AA_00775,PF12698,Inter-strain
GA4805AA_04068,PF14849,Inter-strain
GA4805AA_04215,PF00902,Inter-strain
GA4805AA_03545,PF05494,Inter-strain
GA4805AA_01825,PF11975,Inter-strain
GA4805AA_02477,PF00890,Inter-strain
GA4805AA_02387,PF13377,Inter-strain
GA4805AA_00060,PF03104,Inter-strain
GA4805AA_01363,PF02613,Inter-strain
GA4805AA_03609,PF00474,Inter-strain
GA4805AA_04585,PF13167,Inter-strain
GA4805AA_03358,PF00465,Inter-strain
GA4805AA_02611,PF15714,Inter-strain
GA4805AA_03353,PF02472,Inter-strain
GA4805AA_01723,PF03116,Inter-strain
GA4805AA_03080,PF13361,Inter-strain
GA4805AA_01190,PF00528,Inter-strain
GA4805AA_01016,PF00155,Inter-strain
GA4805AA_03925,PF13377,Inter-strain
GA4805AA_03020,PF03313,Inter-strain
GA4805AA_04097,PF00213,Inter-strain
GA4805AA_00112,PF17113,Inter-strain
GA4805AA_00150,PF12627,Inter-strain
GA4805AA_04379,PF00072,Inter-strain
GA4805AA_01878,PF04073,Inter-strain
GA4805AA_01396,PF04279,Inter-strain
GA4805AA_03145,PF02347,Inter-strain
GA4805AA_03796,PF11862,Inter-strain
GA4805AA_00673,PF00408,Inter-strain
GA4805AA_03392,PF06853,Inter-strain
GA4805AA_04362,PF04561,Inter-strain
GA4805AA_00496,PF03649,Inter-strain
GA4805AA_03022,PF00465,Inter-strain
GA4805AA_04362,PF04563,Inter-strain
GA4805AA_00126,PF02675,Inter-strain
GA4805AA_02816,PF01513,Inter-strain
GA4805AA_01715,PF00155,Inter-strain
GA4805AA_00853,PF00111,Inter-strain
GA4805AA_03629,PF01488,Inter-strain
GA4805AA_03005,PF00117,Inter-strain
GA4805AA_01060,PF02322,Inter-strain
GA4805AA_02340,PF02110,Inter-strain
GA4805AA_03662,PF07650,Inter-strain
GA4805AA_03973,PF00155,Inter-strain
GA4805AA_01544,PF00582,Inter-strain
GA4805AA_04232,PF01323,Inter-strain
GA4805AA_00813,PF00528,Inter-strain
GA4805AA_00601,PF14689,Inter-strain
GA4805AA_04095,PF00231,Inter-strain
GA4805AA_00401,PF00486,Inter-strain
GA4805AA_01729,PF08543,Inter-strain
GA4805AA_02534,PF12850,Inter-strain
GA4805AA_03988,PF04413,Inter-strain
GA4805AA_03575,PF00380,Inter-strain
GA4805AA_00031,PF00117,Inter-strain
GA4805AA_00473,PF02132,Inter-strain
GA4805AA_03198,PF02594,Inter-strain
GA4805AA_03598,PF00364,Inter-strain
GA4805AA_00133,PF00005,Inter-strain
GA4805AA_04276,PF00596,Inter-strain
GA4805AA_04841,PF03786,Inter-strain
GA4805AA_04105,PF13412,Inter-strain
GA4805AA_00998,PF02224,Inter-strain
GA4805AA_03972,PF00107,Inter-strain
GA4805AA_01726,PF00633,Inter-strain
GA4805AA_01385,PF00496,Inter-strain
GA4805AA_02887,PF01022,Inter-strain
GA4805AA_03766,PF12122,Inter-strain
GA4805AA_01694,PF05222,Inter-strain
GA4805AA_04417,PF02264,Inter-strain
GA4805AA_04096,PF00306,Inter-strain
GA4805AA_02949,PF02492,Inter-strain
GA4805AA_04645,PF13407,Inter-strain
GA4805AA_04321,PF00465,Inter-strain
GA4805AA_03662,PF00189,Inter-strain
GA4805AA_01133,PF04337,Inter-strain
GA4805AA_01699,PF00486,Inter-strain
GA4805AA_00652,PF00480,Inter-strain
GA4805AA_02796,PF00004,Inter-strain
GA4805AA_04364,PF04055,Inter-strain
GA4805AA_04876,PF10696,Inter-strain
GA4805AA_03031,PF00126,Inter-strain
GA4805AA_03025,PF07881,Inter-strain
GA4805AA_04363,PF00623,Inter-strain
GA4805AA_02661,PF00583,Inter-strain
GA4805AA_00767,PF02391,Inter-strain
GA4805AA_02430,PF03918,Inter-strain
GA4805AA_01057,PF07449,Inter-strain
GA4805AA_02510,PF00361,Inter-strain
GA4805AA_04348,PF01565,Inter-strain
GA4805AA_04096,PF00006,Inter-strain
GA4805AA_03007,PF02824,Inter-strain
GA4805AA_04093,PF02823,Inter-strain
GA4805AA_00705,PF13534,Inter-strain
GA4805AA_03914,PF02092,Inter-strain
GA4805AA_02548,PF08245,Inter-strain
GA4805AA_02416,PF08352,Inter-strain
GA4805AA_02769,PF01648,Inter-strain
GA4805AA_04373,PF04493,Inter-strain
GA4805AA_04004,PF02824,Inter-strain
GA4805AA_01081,PF12697,Inter-strain
GA4805AA_01105,PF10614,Inter-strain
GA4805AA_04380,PF02844,Inter-strain
GA4805AA_02378,PF04172,Inter-strain
GA4805AA_02910,PF09335,Inter-strain
GA4805AA_02528,PF03887,Inter-strain
GA4805AA_00474,PF02518,Inter-strain
GA4805AA_00087,PF00905,Inter-strain
GA4805AA_02772,PF07650,Inter-strain
GA4805AA_03669,PF00338,Inter-strain
GA4805AA_01791,PF01012,Inter-strain
GA4805AA_03641,PF09350,Inter-strain
GA4805AA_03553,PF03968,Inter-strain
GA4805AA_00838,PF00528,Inter-strain
GA4805AA_01083,PF00857,Inter-strain
GA4805AA_04063,PF02463,Inter-strain
GA4805AA_03791,PF00528,Inter-strain
GA4805AA_04582,PF08676,Inter-strain
GA4805AA_04581,PF01520,Inter-strain
GA4805AA_02444,PF12838,Inter-strain
GA4805AA_04069,PF10396,Inter-strain
GA4805AA_04435,PF00772,Inter-strain
GA4805AA_03522,PF08529,Inter-strain
GA4805AA_01109,PF07012,Inter-strain
GA4805AA_00612,PF04359,Inter-strain
GA4805AA_03426,PF01807,Inter-strain
GA4805AA_00451,PF00005,Inter-strain
GA4805AA_03346,PF13247,Inter-strain
GA4805AA_03651,PF03719,Inter-strain
GA4805AA_01811,PF07973,Inter-strain
GA4805AA_03599,PF02786,Inter-strain
GA4805AA_00717,PF09600,Inter-strain
GA4805AA_04515,PF00672,Inter-strain
GA4805AA_01786,PF01487,Inter-strain
GA4805AA_03706,PF00027,Inter-strain
GA4805AA_01030,PF12848,Inter-strain
GA4805AA_03658,PF00238,Inter-strain
GA4805AA_04414,PF00528,Inter-strain
GA4805AA_04374,PF04222,Inter-strain
GA4805AA_04243,PF02518,Inter-strain
GA4805AA_01147,PF10135,Inter-strain
GA4805AA_01164,PF13177,Inter-strain
GA4805AA_04580,PF02367,Inter-strain
GA4805AA_04566,PF13183,Inter-strain
GA4805AA_01387,PF12911,Inter-strain
GA4805AA_01376,PF00072,Inter-strain
GA4805AA_04615,PF03948,Inter-strain
GA4805AA_01941,PF08525,Inter-strain
GA4805AA_00683,PF00875,Inter-strain
GA4805AA_01053,PF01058,Inter-strain
GA4805AA_01888,PF01810,Inter-strain
GA4805AA_01164,PF09115,Inter-strain
GA4805AA_01969,PF01339,Inter-strain
GA4805AA_00371,PF02583,Inter-strain
GA4805AA_01562,PF00389,Inter-strain
GA4805AA_04572,PF02666,Inter-strain
GA4805AA_03714,PF04324,Inter-strain
GA4805AA_00494,PF01145,Inter-strain
GA4805AA_03948,PF03841,Inter-strain
GA4805AA_04908,PF01381,Inter-strain
GA4805AA_03760,PF02446,Inter-strain
GA4805AA_00055,PF09312,Inter-strain
GA4805AA_00441,PF02190,Inter-strain
GA4805AA_04848,PF07670,Inter-strain
GA4805AA_02320,PF00486,Inter-strain
GA4805AA_04141,PF03721,Inter-strain
GA4805AA_01155,PF02504,Inter-strain
GA4805AA_02952,PF02769,Inter-strain
GA4805AA_01170,PF13036,Inter-strain
GA4805AA_00668,PF01475,Inter-strain
GA4805AA_00766,PF02597,Inter-strain
GA4805AA_04381,PF02142,Inter-strain
GA4805AA_03137,PF00589,Inter-strain
GA4805AA_00867,PF00664,Inter-strain
GA4805AA_04219,PF00175,Inter-strain
GA4805AA_04096,PF02874,Inter-strain
GA4805AA_04371,PF00293,Inter-strain
GA4805AA_04567,PF00890,Inter-strain
GA4805AA_03717,PF00590,Inter-strain
GA4805AA_04285,PF00512,Inter-strain
GA4805AA_00182,PF08436,Inter-strain
GA4805AA_02545,PF00156,Inter-strain
GA4805AA_00036,PF00378,Inter-strain
GA4805AA_02611,PF02518,Inter-strain
GA4805AA_03532,PF01728,Inter-strain
GA4805AA_01041,PF13515,Inter-strain
GA4805AA_02666,PF00936,Inter-strain
GA4805AA_02540,PF00528,Inter-strain
GA4805AA_03744,PF01430,Inter-strain
GA4805AA_04104,PF00258,Inter-strain
GA4805AA_02810,PF01782,Inter-strain
GA4805AA_02611,PF07694,Inter-strain
GA4805AA_00280,PF11798,Inter-strain
GA4805AA_04069,PF12631,Inter-strain
GA4805AA_00185,PF01148,Inter-strain
GA4805AA_04471,PF03918,Inter-strain
GA4805AA_00012,PF00012,Inter-strain
GA4805AA_00598,PF03328,Inter-strain
GA4805AA_00774,PF12698,Inter-strain
GA4805AA_03459,PF07332,Inter-strain
GA4805AA_01958,PF08003,Inter-strain
GA4805AA_03574,PF00043,Inter-strain
GA4805AA_02424,PF11893,Inter-strain
GA4805AA_02441,PF12838,Inter-strain
GA4805AA_01289,PF00842,Inter-strain
GA4805AA_03775,PF00128,Inter-strain
GA4805AA_01195,PF00486,Inter-strain
GA4805AA_03412,PF01467,Inter-strain
GA4805AA_01102,PF02613,Inter-strain
GA4805AA_03793,PF13416,Inter-strain
GA4805AA_04361,PF16320,Inter-strain
GA4805AA_00061,PF00596,Inter-strain
GA4805AA_00197,PF00903,Inter-strain
GA4805AA_02536,PF00043,Inter-strain
GA4805AA_01349,PF13369,Inter-strain
GA4805AA_00772,PF03372,Inter-strain
GA4805AA_02256,PF13520,Inter-strain
GA4805AA_02802,PF02153,Inter-strain
GA4805AA_01839,PF00202,Inter-strain
GA4805AA_04073,PF03466,Inter-strain
GA4805AA_03818,PF00496,Inter-strain
GA4805AA_02385,PF00005,Inter-strain
GA4805AA_03542,PF00275,Inter-strain
GA4805AA_00623,PF08264,Inter-strain
GA4805AA_04362,PF04565,Inter-strain
GA4805AA_00419,PF00586,Inter-strain
GA4805AA_04363,PF04997,Inter-strain
GA4805AA_02333,PF01791,Inter-strain
GA4805AA_02679,PF10662,Inter-strain
GA4805AA_00407,PF02547,Inter-strain
GA4805AA_02741,PF01592,Inter-strain
GA4805AA_01620,PF00033,Inter-strain
GA4805AA_00632,PF00528,Inter-strain
GA4805AA_04360,PF00466,Inter-strain
GA4805AA_01741,PF06945,Inter-strain
GA4805AA_04158,PF07219,Inter-strain
GA4805AA_03698,PF09526,Inter-strain
GA4805AA_01809,PF01632,Inter-strain
GA4805AA_00741,PF16363,Inter-strain
